Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:50:17.169000,HAM,44,0 days 00:01:09.184000,10.0,1.0,,,,,0 days 00:00:20.899000,,,0 days 00:50:17.331000,,,276.0,,False,SOFT,13.0,False,Mercedes,0 days 00:49:07.985000,2020-07-05 13:29:08.208,1,5.0,False,,False,False
0 days 00:51:26.311000,HAM,44,0 days 00:01:09.142000,11.0,1.0,,,0 days 00:00:17.432000,0 days 00:00:30.853000,0 days 00:00:20.857000,0 days 00:50:34.620000,0 days 00:51:05.473000,0 days 00:51:26.330000,293.0,231.0,276.0,295.0,False,SOFT,14.0,False,Mercedes,0 days 00:50:17.169000,2020-07-05 13:30:17.392,1,4.0,False,,False,True
0 days 00:52:35.357000,HAM,44,0 days 00:01:09.046000,12.0,1.0,,,0 days 00:00:17.418000,0 days 00:00:30.881000,0 days 00:00:20.747000,0 days 00:51:43.748000,0 days 00:52:14.629000,0 days 00:52:35.376000,287.0,233.0,277.0,293.0,True,SOFT,15.0,False,Mercedes,0 days 00:51:26.311000,2020-07-05 13:31:26.534,1,4.0,False,,False,True
0 days 00:53:44.433000,HAM,44,0 days 00:01:09.076000,13.0,1.0,,,0 days 00:00:17.456000,0 days 00:00:30.826000,0 days 00:00:20.794000,0 days 00:52:52.832000,0 days 00:53:23.658000,0 days 00:53:44.452000,291.0,233.0,278.0,294.0,False,SOFT,16.0,False,Mercedes,0 days 00:52:35.357000,2020-07-05 13:32:35.580,1,4.0,False,,False,True
0 days 00:54:53.564000,HAM,44,0 days 00:01:09.131000,14.0,1.0,,,0 days 00:00:17.451000,0 days 00:00:30.847000,0 days 00:00:20.833000,0 days 00:54:01.903000,0 days 00:54:32.750000,0 days 00:54:53.583000,290.0,233.0,276.0,293.0,False,SOFT,17.0,False,Mercedes,0 days 00:53:44.433000,2020-07-05 13:33:44.656,1,4.0,False,,False,True
0 days 00:56:02.564000,HAM,44,0 days 00:01:09,15.0,1.0,,,0 days 00:00:17.465000,0 days 00:00:30.796000,0 days 00:00:20.739000,0 days 00:55:11.048000,0 days 00:55:41.844000,0 days 00:56:02.583000,291.0,235.0,275.0,295.0,True,SOFT,18.0,False,Mercedes,0 days 00:54:53.564000,2020-07-05 13:34:53.787,1,4.0,False,,False,True
0 days 00:57:11.904000,HAM,44,0 days 00:01:09.340000,16.0,1.0,,,0 days 00:00:17.391000,0 days 00:00:31.013000,0 days 00:00:20.936000,0 days 00:56:19.974000,0 days 00:56:50.987000,0 days 00:57:11.923000,293.0,235.0,273.0,296.0,False,SOFT,19.0,False,Mercedes,0 days 00:56:02.564000,2020-07-05 13:36:02.787,12,4.0,False,,False,True
0 days 00:58:21.230000,HAM,44,0 days 00:01:09.326000,17.0,1.0,,,0 days 00:00:17.482000,0 days 00:00:30.962000,0 days 00:00:20.882000,0 days 00:57:29.405000,0 days 00:58:00.367000,0 days 00:58:21.249000,289.0,233.0,274.0,292.0,False,SOFT,20.0,False,Mercedes,0 days 00:57:11.904000,2020-07-05 13:37:12.127,1,4.0,False,,False,True
0 days 00:59:30.586000,HAM,44,0 days 00:01:09.356000,18.0,1.0,,,0 days 00:00:17.467000,0 days 00:00:31.008000,0 days 00:00:20.881000,0 days 00:58:38.716000,0 days 00:59:09.724000,0 days 00:59:30.605000,296.0,234.0,273.0,297.0,False,SOFT,21.0,False,Mercedes,0 days 00:58:21.230000,2020-07-05 13:38:21.453,1,4.0,False,,False,True
0 days 01:00:39.928000,HAM,44,0 days 00:01:09.342000,19.0,1.0,,,0 days 00:00:17.401000,0 days 00:00:30.937000,0 days 00:00:21.004000,0 days 00:59:48.006000,0 days 01:00:18.943000,0 days 01:00:39.947000,294.0,234.0,273.0,297.0,False,SOFT,22.0,False,Mercedes,0 days 00:59:30.586000,2020-07-05 13:39:30.809,1,4.0,False,,False,True
