Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:55:55.961000,HUL,27,0 days 00:01:43.307000,13.0,1.0,,,0 days 00:00:27.760000,0 days 00:00:41.086000,0 days 00:00:34.461000,0 days 00:54:40.436000,0 days 00:55:21.522000,0 days 00:55:55.983000,,180.0,203.0,293.0,False,HARD,13.0,True,Renault,0 days 00:54:12.654000,2019-11-03 19:34:13.370,1,10.0,False,,False,True
0 days 00:57:38.914000,HUL,27,0 days 00:01:42.953000,14.0,1.0,,,0 days 00:00:27.703000,0 days 00:00:40.989000,0 days 00:00:34.261000,0 days 00:56:23.686000,0 days 00:57:04.675000,0 days 00:57:38.936000,204.0,181.0,203.0,294.0,True,HARD,14.0,True,Renault,0 days 00:55:55.961000,2019-11-03 19:35:56.677,1,10.0,False,,False,True
0 days 00:59:21.866000,HUL,27,0 days 00:01:42.952000,15.0,1.0,,,0 days 00:00:27.661000,0 days 00:00:41.129000,0 days 00:00:34.162000,0 days 00:58:06.597000,0 days 00:58:47.726000,0 days 00:59:21.888000,202.0,181.0,204.0,297.0,True,HARD,15.0,True,Renault,0 days 00:57:38.914000,2019-11-03 19:37:39.630,1,10.0,False,,False,True
0 days 01:01:05.138000,HUL,27,0 days 00:01:43.272000,16.0,1.0,,,0 days 00:00:28.053000,0 days 00:00:41.102000,0 days 00:00:34.117000,0 days 00:59:49.941000,0 days 01:00:31.043000,0 days 01:01:05.160000,197.0,181.0,204.0,294.0,False,HARD,16.0,True,Renault,0 days 00:59:21.866000,2019-11-03 19:39:22.582,1,10.0,False,,False,True
0 days 01:02:48.229000,HUL,27,0 days 00:01:43.091000,17.0,1.0,,,0 days 00:00:27.923000,0 days 00:00:40.998000,0 days 00:00:34.170000,0 days 01:01:33.083000,0 days 01:02:14.081000,0 days 01:02:48.251000,198.0,181.0,203.0,295.0,False,HARD,17.0,True,Renault,0 days 01:01:05.138000,2019-11-03 19:41:05.854,1,10.0,False,,False,True
0 days 01:04:31.353000,HUL,27,0 days 00:01:43.124000,18.0,1.0,,,0 days 00:00:27.936000,0 days 00:00:41.095000,0 days 00:00:34.093000,0 days 01:03:16.187000,0 days 01:03:57.282000,0 days 01:04:31.375000,195.0,181.0,204.0,296.0,False,HARD,18.0,True,Renault,0 days 01:02:48.229000,2019-11-03 19:42:48.945,1,10.0,False,,False,True
0 days 01:06:13.829000,HUL,27,0 days 00:01:42.476000,19.0,1.0,,,0 days 00:00:27.734000,0 days 00:00:40.821000,0 days 00:00:33.921000,0 days 01:04:59.109000,0 days 01:05:39.930000,0 days 01:06:13.851000,197.0,180.0,204.0,292.0,True,HARD,19.0,True,Renault,0 days 01:04:31.353000,2019-11-03 19:44:32.069,1,8.0,False,,False,True
0 days 01:07:56.780000,HUL,27,0 days 00:01:42.951000,20.0,1.0,,,0 days 00:00:27.747000,0 days 00:00:41.108000,0 days 00:00:34.096000,0 days 01:06:41.598000,0 days 01:07:22.706000,0 days 01:07:56.802000,196.0,180.0,204.0,292.0,False,HARD,20.0,True,Renault,0 days 01:06:13.829000,2019-11-03 19:46:14.545,1,6.0,False,,False,True
0 days 01:09:39.577000,HUL,27,0 days 00:01:42.797000,21.0,1.0,,,0 days 00:00:27.846000,0 days 00:00:40.991000,0 days 00:00:33.960000,0 days 01:08:24.648000,0 days 01:09:05.639000,0 days 01:09:39.599000,199.0,181.0,203.0,293.0,False,HARD,21.0,True,Renault,0 days 01:07:56.780000,2019-11-03 19:47:57.496,1,5.0,False,,False,True
0 days 01:11:23.531000,HUL,27,0 days 00:01:43.954000,22.0,1.0,,,0 days 00:00:27.812000,0 days 00:00:41.404000,0 days 00:00:34.738000,0 days 01:10:07.411000,0 days 01:10:48.815000,0 days 01:11:23.553000,202.0,179.0,205.0,294.0,False,HARD,22.0,True,Renault,0 days 01:09:39.577000,2019-11-03 19:49:40.293,1,5.0,False,,False,True
0 days 01:13:06.699000,HUL,27,0 days 00:01:43.168000,23.0,1.0,,,0 days 00:00:27.856000,0 days 00:00:40.983000,0 days 00:00:34.329000,0 days 01:11:51.409000,0 days 01:12:32.392000,0 days 01:13:06.721000,200.0,182.0,203.0,296.0,False,HARD,23.0,True,Renault,0 days 01:11:23.531000,2019-11-03 19:51:24.247,1,5.0,False,,False,True
0 days 01:14:51.247000,HUL,27,0 days 00:01:44.548000,24.0,1.0,,,0 days 00:00:28.011000,0 days 00:00:41.587000,0 days 00:00:34.950000,0 days 01:13:34.732000,0 days 01:14:16.319000,0 days 01:14:51.269000,,180.0,202.0,294.0,False,HARD,24.0,True,Renault,0 days 01:13:06.699000,2019-11-03 19:53:07.415,1,6.0,False,,False,True
0 days 01:16:35.821000,HUL,27,0 days 00:01:44.574000,25.0,1.0,,,0 days 00:00:28.879000,0 days 00:00:41.399000,0 days 00:00:34.296000,0 days 01:15:20.148000,0 days 01:16:01.547000,0 days 01:16:35.843000,192.0,182.0,203.0,295.0,False,HARD,25.0,True,Renault,0 days 01:14:51.247000,2019-11-03 19:54:51.963,1,7.0,False,,False,True
0 days 01:18:20.011000,HUL,27,0 days 00:01:44.190000,26.0,1.0,,,0 days 00:00:28.017000,0 days 00:00:41.696000,0 days 00:00:34.477000,0 days 01:17:03.860000,0 days 01:17:45.556000,0 days 01:18:20.033000,196.0,178.0,203.0,291.0,False,HARD,26.0,True,Renault,0 days 01:16:35.821000,2019-11-03 19:56:36.537,1,8.0,False,,False,True
0 days 01:20:06.088000,HUL,27,0 days 00:01:46.077000,27.0,1.0,,0 days 01:20:05.187000,0 days 00:00:28.280000,0 days 00:00:41.717000,0 days 00:00:36.080000,0 days 01:18:48.313000,0 days 01:19:30.030000,0 days 01:20:06.110000,199.0,179.0,,295.0,False,HARD,27.0,True,Renault,0 days 01:18:20.011000,2019-11-03 19:58:20.727,1,10.0,False,,False,False
0 days 01:22:07.405000,HUL,27,0 days 00:02:01.317000,28.0,2.0,0 days 01:20:29.539000,,0 days 00:00:48.310000,0 days 00:00:40.079000,0 days 00:00:32.928000,0 days 01:20:54.420000,0 days 01:21:34.499000,0 days 01:22:07.427000,202.0,188.0,211.0,300.0,False,MEDIUM,1.0,True,Renault,0 days 01:20:06.088000,2019-11-03 20:00:06.804,1,15.0,False,,False,False
0 days 01:23:48.266000,HUL,27,0 days 00:01:40.861000,29.0,2.0,,,0 days 00:00:27.378000,0 days 00:00:40.071000,0 days 00:00:33.412000,0 days 01:22:34.805000,0 days 01:23:14.876000,0 days 01:23:48.288000,208.0,183.0,206.0,318.0,True,MEDIUM,2.0,True,Renault,0 days 01:22:07.405000,2019-11-03 20:02:08.121,1,14.0,False,,False,True
0 days 01:25:29.561000,HUL,27,0 days 00:01:41.295000,30.0,2.0,,,0 days 00:00:27.771000,0 days 00:00:40.454000,0 days 00:00:33.070000,0 days 01:24:16.059000,0 days 01:24:56.513000,0 days 01:25:29.583000,203.0,184.0,206.0,288.0,False,MEDIUM,3.0,True,Renault,0 days 01:23:48.266000,2019-11-03 20:03:48.982,1,13.0,False,,False,True
